text,category,date,link
"What If We Were All Family Generation Changers?. What if, in doing so, we won't just create new opportunities for ourselves, we'll also uncover ways to create new opportunities for our families that may not have otherwise existed? [Category: IMPACT, Date: 2014-06-20]",IMPACT,2014-06-20,https://www.huffingtonpost.com/entry/what-if-we-were-all-famil_b_5510958.html
"Firestorm At AOL Over Employee Benefit Cuts. It should have been a glorious week for AOL chief executive Tim Armstrong. His company’s quarterly earnings, announced Thursday [Category: BUSINESS, Date: 2014-02-08]",BUSINESS,2014-02-08,https://www.huffingtonpost.comhttp://www.washingtonpost.com/business/economy/aol-chief-ignites-firestorm-over-401k-cuts-and-distressed-babies-remark/2014/02/07/2116c03a-9012-11e3-b227-12a45d109e03_story.html
"Dakota Access Protesters Arrested As Deadline Passes To Depart Camp. A few protesters who refused to leave remained at the site Thursday. [Category: POLITICS, Date: 2017-02-22]",POLITICS,2017-02-22,https://www.huffingtonpost.com/entry/time-runs-out-at-main-dakota-access-pipeline-protest-camp_us_58acc6a9e4b04a0b274df548
"One Glimpse Of These Baby Kit Foxes And You'll Be Hooked.  [Category: GREEN, Date: 2014-05-14]",GREEN,2014-05-14,https://www.huffingtonpost.com/entry/one-glimpse-of-these-baby_n_5319015.html
"Mens' Sweat Pheromone, Androstadienone, Influences Cooperation In Other Men. Scientists didn't know if humans played that game as well. But in the last 30 years, they've identified both male and female [Category: SCIENCE, Date: 2013-06-02]",SCIENCE,2013-06-02,https://www.huffingtonpost.com/entry/mens-sweat-pheromone-cooperation_us_5baeb6f0e4b014374e2e5ae6
"Summer Sleepover Tips. Here are five ways to get some beauty sleep while hosting a sleepover for your child. [Category: PARENTING, Date: 2012-07-25]",PARENTING,2012-07-25,https://www.huffingtonpost.com/entry/sleepover_us_5b9c0b18e4b03a1dcc7bf30b
"End of the Year. For a moment, let yourself wonder -- and let your mind wander -- about what you've been a part of this year. All of these things, and more, are things that could offer you an opportunity to improve your performance. [Category: WELLNESS, Date: 2012-11-04]",WELLNESS,2012-11-04,https://www.huffingtonpost.com/entry/making-goals_us_5b9c788ee4b03a1dcc7ef3c9
"Maybe Colleges Should Take A Lesson From Zoos. By Michael Preston, UCF Forum columnist What would it take to create a more learning-efficient campus? What elements must [Category: SCIENCE, Date: 2017-05-10]",SCIENCE,2017-05-10,https://www.huffingtonpost.com/entry/maybe-colleges-should-take-a-lesson-from-zoos_us_591325eee4b0e070cad70a9b
"Supermodel Stephanie Seymour Does Sexy Photo Shoot...With Her Sons (PHOTO). In particular, Seymour remembers the way the boys used to dress her up. ""When they were little, they would lay out outfits [Category: STYLE & BEAUTY, Date: 2014-02-10]",STYLE & BEAUTY,2014-02-10,https://www.huffingtonpost.com/entry/stephanie-seymour-photo-sons_us_5b9ddb44e4b03a1dcc8dc9ec
"American Attitudes About Guns Have Become Much More Positive, But Why?. When I was a kid growing up in Washington, D.C. during the 1950s, my two favorite places to visit were the NRA Museum and [Category: POLITICS, Date: 2017-07-27]",POLITICS,2017-07-27,https://www.huffingtonpost.com/entry/american-attitudes-about-guns-have-become-much-more-positive-but-why_us_597a1afae4b02a8434b4cb25
"Carl Bernstein: No Way Is Clinton Email Investigation 'Bigger Than Watergate'. He said this news is in a ""different league."" [Category: POLITICS, Date: 2016-10-29]",POLITICS,2016-10-29,https://www.huffingtonpost.com/entry/carl-bernstein-clinton-emails_us_5814eeace4b0990edc31a2be
"NC Official Changes Stance On Pepper Spray In Trans-Friendly School Bathrooms (UPDATE). ""Perverts and pedophiles taking advantage of this law in bathrooms was my major concern,"" Chuck Hughes said. [Category: QUEER VOICES, Date: 2016-05-11]",QUEER VOICES,2016-05-11,https://www.huffingtonpost.com/entry/nc-school-official-wants-kids-to-carry-pepper-spray-in-trans-friendly-bathrooms_us_573259a1e4b016f378977bc0
